Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,G,A,PTS,+/-,OPS,DPS,GPS,PS,Player-additional
1,Erik Karlsson,32,SJS,D,1585,80.87,123,33,16,12,8,25,76,101,-26,9.4,3.0,0.0,12.4,karlser01
2,Adam Fox,24,NYR,D,1125,57.40,41,72,28,20,11,12,60,72,28,5.5,6.4,0.0,11.9,foxad01
3,Cale Makar,24,COL,D,553,28.21,12,26,29,26,28,17,49,66,16,6.0,4.5,0.0,10.5,makarca01
4,Hampus Lindholm,29,BOS,D,483,24.64,12,14,31,30,20,10,43,53,49,3.7,7.2,0.0,10.9,lindhha01
5,Josh Morrissey,27,WPG,D,337,17.19,3,16,23,21,17,16,60,76,2,6.2,5.0,0.0,11.3,morrijo04
6,Dougie Hamilton,29,NJD,D,270,13.78,3,11,15,21,25,22,52,74,23,7.1,5.0,0.0,12.1,hamildo01
7,Miro Heiskanen,23,DAL,D,269,13.72,1,13,15,25,18,11,62,73,12,5.7,5.3,0.0,11.1,heiskmi01
8,Rasmus Dahlin,22,BUF,D,262,13.37,0,6,23,25,30,15,58,73,12,6.1,4.2,0.0,10.2,dahlira01
9,Quinn Hughes,23,VAN,D,101,5.15,1,2,10,5,12,7,69,76,15,5.3,4.8,0.0,10.2,hughequ01
10,Brent Burns,37,CAR,D/RW,41,2.09,0,2,2,3,8,18,43,61,19,5.4,6.0,0.0,11.4,burnsbr01
11,Vince Dunn,26,SEA,D,31,1.58,0,0,2,4,9,14,50,64,28,5.2,5.2,0.0,10.4,dunnvi02
12,Brandon Montour,28,FLA,D,9,0.46,0,1,0,0,2,16,57,73,9,6.2,3.7,0.0,9.9,montobr01
13,Jared Spurgeon,33,MIN,D,9,0.46,0,0,0,2,3,11,23,34,32,2.3,6.6,0.0,8.9,spurgja01
14,Devon Toews,28,COL,D,7,0.36,0,0,1,0,2,7,43,50,39,3.0,7.0,0.0,10.0,toewsde01
15,Victor Hedman,32,TBL,D,5,0.26,0,0,1,0,0,9,40,49,10,3.3,4.3,0.0,7.6,hedmavi01
16,Mikhail Sergachev,24,TBL,D,4,0.20,0,0,0,1,1,10,54,64,13,4.7,4.7,0.0,9.3,sergami01
17,Jaccob Slavin,28,CAR,D,3,0.15,0,0,0,1,0,7,20,27,18,1.3,5.4,0.0,6.7,slavija01
18,Drew Doughty,33,LAK,D,1,0.05,0,0,0,0,1,9,43,52,12,3.2,5.3,0.0,8.5,doughdr01
18,Charlie McAvoy,25,BOS,D,1,0.05,0,0,0,0,1,7,45,52,29,3.8,5.0,0.0,8.8,mcavoch01
