Place,Player,Age,Tm,Pos,Votes,Vote%,1st,2nd,3rd,4th,5th,W,L,T/O,GAA,SV%,OPS,DPS,GPS,PS,Player-additional,season
1,Martin Brodeur,35,NJD,G,113,75.33,15,12,2,,,44,27,6,2.17,0.92,0.0,0.0,15.5,15.5,brodema01,2008
2,Evgeni Nabokov,32,SJS,G,106,70.67,13,13,2,,,46,21,8,2.14,0.91,0.0,0.0,11.2,11.2,nabokev01,2008
3,Henrik Lundqvist,25,NYR,G,13,8.67,1,0,8,,,37,24,10,2.23,0.912,0.0,0.0,11.9,11.9,lundqhe01,2008
4,Jean-Sébastien Giguère,30,ANA,G,11,7.33,0,1,8,,,35,17,6,2.12,0.922,0.0,0.0,11.7,11.7,gigueje01,2008
5,Miikka Kiprusoff,31,CGY,G,7,4.67,1,0,2,,,39,26,10,2.69,0.906,0.0,0.0,12.2,12.2,kiprumi01,2008
6,Niklas Bäckström,29,MIN,G,6,4.0,0,2,0,,,33,13,8,2.31,0.92,0.0,0.0,12.1,12.1,backsni01,2008
7,Roberto Luongo,28,VAN,G,5,3.33,0,1,2,,,35,29,9,2.38,0.917,0.0,0.0,14.4,14.4,luongro01,2008
8,Cristobal Huet,32,TOT,G,4,2.67,0,1,1,,,32,14,6,2.32,0.92,0.0,0.0,11.1,11.1,huetcr01,2008
9,Carey Price,20,MTL,G,2,1.33,0,0,2,,,24,12,3,2.56,0.92,0.0,0.0,9.5,9.5,priceca01,2008
9,Tim Thomas,33,BOS,G,2,1.33,0,0,2,,,28,19,6,2.44,0.921,0.0,0.0,13.2,13.2,thomati01,2008
11,Chris Osgood,35,DET,G,1,0.67,0,0,1,,,27,9,4,2.09,0.914,0.0,0.0,6.6,6.6,osgooch01,2008
1,Connor Hellebuyck,30,WPG,G,158,98.75,31,1,0,,,37,19,4,2.39,0.921,0.0,0.0,13.6,13.6,helleco01,2024
2,Thatcher Demko,28,VAN,G,70,43.75,0,20,10,,,35,14,2,2.45,0.918,0.0,0.0,10.7,10.7,demkoth01,2024
3,Sergei Bobrovsky,35,FLA,G,40,25.0,1,8,11,,,36,17,4,2.37,0.915,0.0,0.0,10.9,10.9,bobrose01,2024
4,Igor Shesterkin,28,NYR,G,7,4.38,0,1,4,,,36,17,2,2.58,0.912,0.0,0.0,10.7,10.7,shestig01,2024
5,Juuse Saros,28,NSH,G,5,3.13,0,1,2,,,35,24,5,2.86,0.906,0.0,0.0,11.1,11.1,sarosju01,2024
6,Linus Ullmark,30,BOS,G,3,1.88,0,1,0,,,22,10,7,2.57,0.915,0.0,0.0,8.3,8.3,ullmali01,2024
7,Jeremy Swayman,25,BOS,G,3,1.88,0,0,3,,,25,10,8,2.53,0.916,0.0,0.0,9.1,9.1,swaymje01,2024
8,Charlie Lindgren,30,WSH,G,1,0.63,0,0,1,,,25,16,7,2.67,0.911,0.0,0.0,9.4,9.4,lindgch01,2024
8,Ilya Sorokin,28,NYI,G,1,0.63,0,0,1,,,25,19,12,3.01,0.908,0.0,0.0,11.4,11.4,sorokil01,2024
1,Marc-André Fleury,36,VEG,G,108,69.68,14,11,5,,,26,10,0,1.98,0.928,0.0,0.0,8.0,8.0,fleurma01,2021
2,Andrei Vasilevskiy,26,TBL,G,99,63.87,12,12,3,,,31,10,1,2.21,0.925,0.0,0.0,9.6,9.6,vasilan02,2021
3,Philipp Grubauer,29,COL,G,36,23.23,2,6,8,,,30,9,1,1.95,0.922,0.0,0.0,7.4,7.4,grubaph01,2021
4,Connor Hellebuyck,27,WPG,G,13,8.39,2,0,3,,,24,17,3,2.58,0.916,0.0,0.0,9.1,9.1,helleco01,2021
5,Semyon Varlamov,32,NYI,G,11,7.1,1,1,3,,,19,11,4,2.04,0.929,0.0,0.0,8.4,8.4,varlasi01,2021
6,Juuse Saros,25,NSH,G,10,6.45,0,1,7,,,21,11,1,2.28,0.927,0.0,0.0,8.6,8.6,sarosju01,2021
7,Mike Smith,38,EDM,G,2,1.29,0,0,2,,,21,6,2,2.31,0.923,0.0,0.0,6.9,6.9,smithmi01,2021
1,Carey Price,27,MTL,G,144,96.0,27,3,0,,,44,16,6,1.96,0.933,0.0,0.0,16.2,16.2,priceca01,2015
2,Pekka Rinne,32,NSH,G,60,40.0,1,15,10,,,41,17,6,2.18,0.923,0.0,0.0,12.6,12.6,rinnepe01,2015
3,Devan Dubnyk,28,TOT,G,28,18.67,1,4,11,,,36,14,4,2.07,0.929,0.0,0.0,12.6,12.6,dubnyde01,2015
4,Braden Holtby,25,WSH,G,26,17.33,0,7,5,,,41,20,10,2.22,0.923,0.0,0.0,14.4,14.4,holtbbr01,2015
5,Henrik Lundqvist,32,NYR,G,6,4.0,1,0,1,,,30,13,3,2.25,0.922,0.0,0.0,9.2,9.2,lundqhe01,2015
6,Corey Crawford,30,CHI,G,3,2.0,0,1,0,,,32,20,5,2.27,0.924,0.0,0.0,11.9,11.9,crawfco01,2015
7,Andrew Hammond,26,OTT,G,1,0.67,0,0,1,,,20,1,2,1.79,0.941,0.0,0.0,6.5,6.5,hammoan01,2015
7,Jonathan Quick,29,LAK,G,1,0.67,0,0,1,,,36,22,13,2.24,0.918,0.0,0.0,12.1,12.1,quickjo01,2015
7,Cam Talbot,27,NYR,G,1,0.67,0,0,1,,,21,9,4,2.21,0.926,0.0,0.0,7.6,7.6,talboca01,2015
1,Sergei Bobrovsky,28,CBJ,G,138,92.0,25,4,1,0.0,0.0,41,17,5,2.06,0.931,0.0,0.0,14.9,14.9,bobrose01,2017
2,Braden Holtby,27,WSH,G,87,58.0,4,21,4,0.0,0.0,42,13,6,2.07,0.925,0.0,0.0,12.3,12.3,holtbbr01,2017
3,Carey Price,29,MTL,G,19,12.67,0,2,13,0.0,0.0,37,20,5,2.23,0.923,0.0,0.0,12.6,12.6,priceca01,2017
4,Cam Talbot,29,EDM,G,17,11.33,1,2,6,0.0,0.0,42,22,8,2.39,0.919,0.0,0.0,14.0,14.0,talboca01,2017
5,Devan Dubnyk,30,MIN,G,8,5.33,0,1,5,0.0,0.0,40,19,5,2.25,0.923,0.0,0.0,13.1,13.1,dubnyde01,2017
6,Martin Jones,27,SJS,G,1,0.67,0,0,1,0.0,0.0,35,23,6,2.4,0.912,0.0,0.0,9.9,9.9,jonesma02,2017
1,Connor Hellebuyck,31,WPG,G,158,98.75,31,1,0,,,47,12,3,2.0,0.925,0.0,0.0,14.5,14.5,helleco01,2025
2,Andrei Vasilevskiy,30,TBL,G,80,50.0,1,23,6,,,38,20,5,2.18,0.921,0.0,0.0,14.2,14.2,vasilan02,2025
3,Darcy Kuemper,34,LAK,G,33,20.63,0,6,15,,,31,11,7,2.02,0.921,0.0,0.0,10.5,10.5,kuempda01,2025
4,Logan Thompson,27,WSH,G,7,4.38,0,1,4,,,31,6,6,2.49,0.91,0.0,0.0,8.5,8.5,thomplo01,2025
5,Anthony Stolarz,31,TOR,G,3,1.88,0,1,0,,,21,8,3,2.14,0.926,0.0,0.0,8.4,8.4,stolaan01,2025
6,Filip Gustavsson,26,MIN,G,2,1.25,0,0,2,,,31,19,6,2.56,0.914,0.0,0.0,12.8,12.8,gustafi01,2025
6,Ilya Sorokin,29,NYI,G,2,1.25,0,0,2,,,30,24,6,2.71,0.907,0.0,0.0,11.6,11.6,sorokil01,2025
8,Sam Montembeault,28,MTL,G,1,0.63,0,0,1,,,31,24,7,2.82,0.901,0.0,0.0,10.5,10.5,montesa01,2025
8,Jake Oettinger,26,DAL,G,1,0.63,0,0,1,,,36,18,4,2.59,0.909,0.0,0.0,11.4,11.4,oettija01,2025
8,Dustin Wolf,23,CGY,G,1,0.63,0,0,1,,,29,16,8,2.64,0.91,0.0,0.0,11.1,11.1,wolfdu01,2025
1,Andrei Vasilevskiy,24,TBL,G,146,94.19,28,2,0,,,39,10,4,2.4,0.925,0.0,0.0,12.4,12.4,vasilan02,2019
2,Ben Bishop,32,DAL,G,64,41.29,2,16,6,,,27,15,2,1.98,0.934,0.0,0.0,10.8,10.8,bishobe01,2019
3,Robin Lehner,27,NYI,G,17,10.97,0,3,8,,,25,13,5,2.13,0.93,0.0,0.0,10.2,10.2,lehnero01,2019
4,Marc-André Fleury,34,VEG,G,11,7.1,1,1,3,,,35,21,5,2.51,0.913,0.0,0.0,10.3,10.3,fleurma01,2019
5,Jordan Binnington,25,STL,G,9,5.81,0,2,3,,,24,5,1,1.89,0.927,0.0,0.0,6.0,6.0,binnijo01,2019
