playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xPlayStopped,playStopped,xPlayContinuedInZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,penalityMinutes,penalties
8470140,2008,Kari Lehtonen,ATL,G,other,46,5232.0,11.45,12.0,132.0,1.79,2.0,41.69,10.8,72.0,23.0,15.0,2.67,2.89,5.89,7.0,1.0,4.0,0.0,0.0
8470140,2008,Kari Lehtonen,ATL,G,all,46,157455.0,129.82,134.0,2573.0,36.75,28.0,762.51,125.46,1497.0,361.0,110.0,46.02,43.49,40.3,42.0,41.0,51.0,6.0,3.0
8470140,2008,Kari Lehtonen,ATL,G,5on5,46,116930.0,80.79,80.0,1848.0,26.05,15.0,545.16,78.43,1107.0,253.0,54.0,35.26,29.92,15.61,26.0,34.0,20.0,6.0,3.0
8470140,2008,Kari Lehtonen,ATL,G,4on5,46,17502.0,31.77,36.0,506.0,1.26,0.0,160.45,30.54,265.0,69.0,35.0,6.22,8.57,16.99,7.0,3.0,26.0,0.0,0.0
8470140,2008,Kari Lehtonen,ATL,G,5on4,46,17791.0,4.94,6.0,74.0,7.59,11.0,14.27,4.86,44.0,14.0,6.0,1.33,1.78,1.82,2.0,3.0,1.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,other,13,1143.0,1.14,3.0,15.0,0.31,0.0,5.45,1.01,9.0,3.0,1.0,0.35,0.39,0.4,1.0,1.0,1.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,all,13,27256.0,22.22,27.0,389.0,8.27,10.0,129.78,21.27,240.0,61.0,22.0,7.22,7.77,7.23,7.0,10.0,10.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,5on5,13,20172.0,12.85,15.0,261.0,6.24,8.0,85.88,12.48,166.0,38.0,12.0,4.56,4.65,3.63,4.0,6.0,5.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,4on5,13,3265.0,6.92,8.0,100.0,0.3,0.0,36.13,6.5,60.0,17.0,6.0,2.18,2.18,2.56,2.0,3.0,3.0,0.0,0.0
8470147,2008,Curtis McElhinney,CGY,G,5on4,13,2676.0,1.31,1.0,13.0,1.41,2.0,2.32,1.28,5.0,3.0,3.0,0.12,0.55,0.64,0.0,0.0,1.0,0.0,0.0
8467430,2008,Dany Sabourin,PIT,G,other,19,1965.0,2.4,3.0,55.0,1.13,0.0,13.86,2.36,29.0,6.0,3.0,1.02,0.72,0.65,1.0,2.0,0.0,0.0,0.0
8467430,2008,Dany Sabourin,PIT,G,all,19,59366.0,43.21,47.0,917.0,13.69,13.0,254.82,41.21,484.0,119.0,44.0,15.14,14.06,14.01,13.0,19.0,15.0,2.0,1.0
8467430,2008,Dany Sabourin,PIT,G,5on5,19,46009.0,25.93,30.0,659.0,9.97,9.0,176.28,25.26,344.0,89.0,17.0,10.61,10.51,4.81,8.0,15.0,7.0,2.0,1.0
8467430,2008,Dany Sabourin,PIT,G,4on5,19,5763.0,12.64,13.0,176.0,0.2,0.0,59.15,11.49,97.0,21.0,19.0,3.08,2.53,7.03,4.0,2.0,7.0,0.0,0.0
8467430,2008,Dany Sabourin,PIT,G,5on4,19,5629.0,1.98,1.0,19.0,2.23,3.0,3.6,1.84,9.0,2.0,5.0,0.27,0.2,1.51,0.0,0.0,1.0,0.0,0.0
8469514,2008,Peter Budaj,COL,G,other,56,4201.0,7.34,3.0,123.0,1.36,3.0,29.5,6.78,61.0,12.0,8.0,2.4,1.66,3.27,1.0,0.0,2.0,0.0,0.0
8469514,2008,Peter Budaj,COL,G,all,56,191512.0,136.02,154.0,3070.0,45.57,41.0,831.89,131.87,1699.0,366.0,117.0,51.39,44.38,40.25,55.0,52.0,47.0,0.0,0.0
8469514,2008,Peter Budaj,COL,G,5on5,56,148944.0,90.59,109.0,2316.0,35.17,29.0,632.24,88.24,1318.0,272.0,66.0,40.3,32.44,17.84,44.0,43.0,22.0,0.0,0.0
8469514,2008,Peter Budaj,COL,G,4on5,56,19071.0,32.76,39.0,532.0,0.93,1.0,152.41,31.63,260.0,67.0,38.0,6.84,8.42,17.5,9.0,8.0,22.0,0.0,0.0
